xab yab zab xbc ybc zbc xca yca zca
2.00 0.00 0.00 1.00 2.00 0.00 0.00 4.00 0.00
1.98 0.04 0.00 0.98 2.04 0.00 0.04 3.92 0.00
1.96 0.08 0.00 0.96 2.08 0.00 0.08 3.84 0.00
1.94 0.12 0.00 0.94 2.12 0.00 0.12 3.76 0.00
1.92 0.16 0.00 0.92 2.16 0.00 0.16 3.68 0.00
1.90 0.20 0.00 0.90 2.20 0.00 0.20 3.60 0.00
1.88 0.24 0.00 0.88 2.24 0.00 0.24 3.52 0.00
1.86 0.28 0.00 0.86 2.28 0.00 0.28 3.44 0.00
1.84 0.32 0.00 0.84 2.32 0.00 0.32 3.36 0.00
1.82 0.36 0.00 0.82 2.36 0.00 0.36 3.28 0.00
1.80 0.40 0.00 0.80 2.40 0.00 0.40 3.20 0.00
1.78 0.44 0.00 0.78 2.44 0.00 0.44 3.12 0.00
1.76 0.48 0.00 0.76 2.48 0.00 0.48 3.04 0.00
1.74 0.52 0.00 0.74 2.52 0.00 0.52 2.96 0.00
1.72 0.56 0.00 0.72 2.56 0.00 0.56 2.88 0.00
1.70 0.60 0.00 0.70 2.60 0.00 0.60 2.80 0.00
1.68 0.64 0.00 0.68 2.64 0.00 0.64 2.72 0.00
1.66 0.68 0.00 0.66 2.68 0.00 0.68 2.64 0.00
1.64 0.72 0.00 0.64 2.72 0.00 0.72 2.56 0.00
1.62 0.76 0.00 0.62 2.76 0.00 0.76 2.48 0.00
1.60 0.80 0.00 0.60 2.80 0.00 0.80 2.40 0.00
1.58 0.84 0.00 0.58 2.84 0.00 0.84 2.32 0.00
1.56 0.88 0.00 0.56 2.88 0.00 0.88 2.24 0.00
1.54 0.92 0.00 0.54 2.92 0.00 0.92 2.16 0.00
1.52 0.96 0.00 0.52 2.96 0.00 0.96 2.08 0.00
1.50 1.00 0.00 0.50 3.00 0.00 1.00 2.00 0.00
1.48 1.04 0.00 0.48 3.04 0.00 1.04 1.92 0.00
1.46 1.08 0.00 0.46 3.08 0.00 1.08 1.84 0.00
1.44 1.12 0.00 0.44 3.12 0.00 1.12 1.76 0.00
1.42 1.16 0.00 0.42 3.16 0.00 1.16 1.68 0.00
1.40 1.20 0.00 0.40 3.20 0.00 1.20 1.60 0.00
1.38 1.24 0.00 0.38 3.24 0.00 1.24 1.52 0.00
1.36 1.28 0.00 0.36 3.28 0.00 1.28 1.44 0.00
1.34 1.32 0.00 0.34 3.32 0.00 1.32 1.36 0.00
1.32 1.36 0.00 0.32 3.36 0.00 1.36 1.28 0.00
1.30 1.40 0.00 0.30 3.40 0.00 1.40 1.20 0.00
1.28 1.44 0.00 0.28 3.44 0.00 1.44 1.12 0.00
1.26 1.48 0.00 0.26 3.48 0.00 1.48 1.04 0.00
1.24 1.52 0.00 0.24 3.52 0.00 1.52 0.96 0.00
1.22 1.56 0.00 0.22 3.56 0.00 1.56 0.88 0.00
1.20 1.60 0.00 0.20 3.60 0.00 1.60 0.80 0.00
1.18 1.64 0.00 0.18 3.64 0.00 1.64 0.72 0.00
1.16 1.68 0.00 0.16 3.68 0.00 1.68 0.64 0.00
1.14 1.72 0.00 0.14 3.72 0.00 1.72 0.56 0.00
1.12 1.76 0.00 0.12 3.76 0.00 1.76 0.48 0.00
1.10 1.80 0.00 0.10 3.80 0.00 1.80 0.40 0.00
1.08 1.84 0.00 0.08 3.84 0.00 1.84 0.32 0.00
1.06 1.88 0.00 0.06 3.88 0.00 1.88 0.24 0.00
1.04 1.92 0.00 0.04 3.92 0.00 1.92 0.16 0.00
1.02 1.96 0.00 0.02 3.96 0.00 1.96 0.08 0.00
1.00 2.00 0.00 0.00 4.00 0.00 2.00 0.00 0.00
1.00 2.00 0.00 0.00 4.00 0.00 2.00 0.00 0.00
